ResponseId,UserLanguage,consent,age,gender,residence,US_citizen,newspapers,news_sources,platforms_used,platforms_used_5_TEXT,news_media_trust,petitions_num_1,gift_card_ranking_uber,gift_card_ranking_lyft,gift_card_ranking_GH,gift_card_ranking_DD,gift_card_ranking_S,gift_card_ranking_BK,confirm_top_choice,gift_card_weight_1,gift_card_weight_2,gift_card_weight_3,gift_card_weight_4,gift_card_weight_5,gift_card_weight_6,gift_card_use_uber,gift_card_use_lyft,gift_card_use_GH,gift_card_use_DD,gift_card_use_S,gift_card_use_BK,misinfo_intro,control_info,T1_info,T2_info,T3_info,T4_info_S,T4_info_uber_GH,T4_info_BK_DD_lyft_1,T4_info_BK_DD_lyft_2,outcome_1,outcome_1_why,outcome_2,outcome_2_why,attn_check_1,petition_c_P_B,petition_c_P_A,petition_c_C_B,petition_c_C_A,petition_T1_P_B,petition_T1_P_A,petition_T1_C_B,petition_T1_C_A,petition_T2_P_B,petition_T2_P_A,petition_T2_C_B,petition_T2_C_A,petition_T3_P_B,petition_T3_P_A,petition_T3_C_B,petition_T3_C_A,petition_T4_P_B,petition_T4_P_A,petition_T4_C_B,petition_T4_C_A,ratings_trust,ratings_bias,factual_errors,quality,employment,education,household_income,race,vote,survey_purpose,survey_trust,survey_bias,group,petition_link_clicked,passes_attn_check_1,top_choice_consistent,outcome_1_text,confirm_top_choice_text,top_ranked_choice,second_ranked_choice,switch_in_preference,weight_of_top_choice,weight_of_outcome,outcome_top_choice_weight_diff,outcome_1_misinfo_rank,top_choice_misinfo_rank,outcome_2_text,petition_none,petition_company_block,petition_company_allow,petition_platform_block,petition_platform_allow,petition_clicks_company_block,petition_clicks_company_allow,petition_clicks_platform_block,petition_clicks_platform_allow,petition_self_reported_company_block,petition_self_reported_company_allow,petition_self_reported_platform_block,petition_self_reported_platform_allow,control_group,T1_group,T2_group,T3_group,T4_group,gender_text,gender_male,gender_female,gender_third,age_text,race_text,residence_text,consumes_misinfo,news_media_trust_text,news_media_trust_low,news_media_trust_high,petition_signer,freq_of_use_top_choice,freq_use_of_top_choice_text,frequently_used_top_choice,freq_use_of_outcome,freq_use_of_outcome_text,frequently_used_outcome,vote_text,vote_trump,vote_biden,vote_other,vote_none,household_income_text,income_50K_below,income_50K_plus,income_25K_below,income_25K_to_50K,income_50K_to_100K,income_100K_above,income_no_answer,educ_text,educ_no_degree,educ_associates_plus,educ_college_plus,educ_high_school,educ_some_college,educ_bachelors,educ_post_graduate,employment_text,working_paid,working_self,working_any,not_working,working_no_answer,num_platforms_used,petition,petition_clicks,petition_block,frequent_user,weight_diff_category,weight_diff_negative,switched_categories,switch_misinfo_mag,outcome_1_topic,outcome_2_topic,weights_difference
R_2SkLWR6N1Q2LImT,EN,4,4,1,1,1,"2,11,14,26",1,"(3, 4)",,2,0,3,4,5,6,2,1,6,10,10,10,10,30,30,4,5,5,5,3,2,4,,,,,,,9,9,6,We use this retailer much more than the other services listed.,1,"If the misinformation is making these websites a profit, no legitimate company should help them.","1,5",,,,,,,,,,,,,,,,,,,1,,2,3,2,4,7,2,4,3,4,Misinformation on not credible news websited,7,4,T4,1,1,1,Burger King,Burger King,Burger King,Subway,0,30,30,0,3,3,company_block,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Male,1,0,0,age_45_54,White,NE,0,High trust,0,1,0,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,None,0,0,0,1,50K_to_100K,0,1,0,0,1,0,0,max_high_school,1,0,0,1,0,0,0,not_working,0,0,0,1,0,2,petition_block,company_block,1,1,same weight,0,0,0,Use,Company responsibility,0
R_2dB9BEjAEvoQT9W,EN,4,6,1,3,1,"4,17,26",3,"(1, 2, 3)",,4,0,6,3,4,5,2,1,6,3,3,2,2,10,80,5,5,5,5,3,2,4,,,9,,,,,,6,I like to eat at Burger King,5,I do not like to,"1,5",,,,,,,,,,,,,,,,,,,,,4,2,1,5,5,8,4,2,4,The purpose of this study to make people aware the prevalence of misinformation in our media,5,5,T2,0,1,1,Burger King,Burger King,Burger King,Subway,0,80,80,0,3,3,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Male,1,0,0,age_65_plus,Asian,S,0,Low trust,1,0,0,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,None,0,0,0,1,50K_to_100K,0,1,0,0,1,0,0,post_graduate,0,1,1,0,0,0,1,not_working,0,0,0,1,0,3,None,No clicks,0,1,same weight,0,0,0,Like,No interest,70
R_x44nWN3tJmaWCxr,EN,4,6,1,2,1,9,1,2,,1,0,4,3,6,1,5,2,4,0,0,0,100,0,0,5,5,5,4,5,5,4,,,,,,,9,9,4,order food my choice of place,3,this problem applies to all advertising sites,"1,5",,,,,,,,,,,,,,,,,,,,,1,3,3,3,5,5,3,3,1,the whole this was confusing about imisformation. ,4,4,T4,0,1,1,DoorDash,DoorDash,DoorDash,Burger King,0,100,100,0,6,6,platform_block,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,1,0,0,age_65_plus,White,MW,1,Very high trust,0,1,0,4,about_once_or_twice_a_year,0,4,about_once_or_twice_a_year,0,Trump,1,0,0,0,25K_to_50K,1,0,0,1,0,0,0,bachelors,0,1,1,0,0,1,0,not_working,0,0,0,1,0,1,None,No clicks,0,0,same weight,0,0,0,Frequency of use,Company responsibility,100
R_2xAhphAsatRIreU,EN,4,3,1,1,1,"2,11,14,26",1,"(1, 3, 4)",,2,2,1,2,3,4,5,6,1,30,25,20,20,4,1,3,5,3,5,4,4,4,,9,,,,,,,1,Its the gift card that I would get the most use from.,3,Supporting misinformation websites is horrible.,"1,5",,,,,1,,,,,,,,,,,,,,,,2,3,1,4,1,5,4,2,2,Do you believe companies should be held accountable for advertising on misinformation websites.,6,4,T1,0,1,1,Uber,Uber,Uber,Lyft,0,30,30,0,6,6,platform_block,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Male,1,0,0,age_35_44,Asian,NE,0,High trust,0,1,1,3,once_every_few_months,0,3,once_every_few_months,0,Biden,0,1,0,0,50K_to_100K,0,1,0,0,1,0,0,bachelors,0,1,1,0,0,1,0,paid_employee,1,0,1,0,0,3,None,No clicks,0,0,same weight,0,0,0,Use,Misinformation concerns,5
R_3fJKuo5t5ec8sqo,EN,4,3,2,3,1,"2,14",3,"(1, 2, 4)",,3,0,3,6,5,4,2,1,6,20,0,10,10,30,30,2,5,5,5,5,2,4,,,9,,,,,,6,convenience and I would most like use this one. ,5,I don't see what a petition would actually do?,"1,5",,,,,,,,,,,,,,,,,,,,,4,1,1,4,7,2,1,1,4,To inform and see if someone is paying attention.,4,4,T2,0,1,1,Burger King,Burger King,Burger King,Subway,0,30,30,0,3,3,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Female,0,1,0,age_35_44,Black,S,0,Some trust,0,0,0,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,None,0,0,0,1,25K_below,1,0,1,0,0,0,0,max_high_school,1,0,0,1,0,0,0,not_working,0,0,0,1,0,3,None,No clicks,0,1,same weight,0,0,0,Like,No interest,0
R_2pS461uMLrZM7tf,EN,4,5,2,3,1,21,3,2,,3,0,6,5,4,3,2,1,6,5,10,10,10,15,50,5,5,3,2,2,1,4,9,,,,,,,,6,burger king is the one we mostly use of the choices,3,because if they are blocked there is no chance of ripping off people,"1,5",1,,,,,,,,,,,,,,,,,,,,3,2,2,4,1,2,5,3,2,its about false misinformation and advertising,7,4,control,0,1,1,Burger King,Burger King,Burger King,Subway,0,50,50,0,3,3,platform_block,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Female,0,1,0,age_55_64,White,S,0,Some trust,0,0,0,1,atleast_once_a_week,1,1,atleast_once_a_week,1,Biden,0,1,0,0,50K_to_100K,0,1,0,0,1,0,0,max_high_school,1,0,0,1,0,0,0,paid_employee,1,0,1,0,0,1,None,No clicks,0,1,same weight,0,0,0,Use,Misinformation concerns,35
R_PM8GRETbA1zMQHT,EN,4,1,2,3,1,"14,16,17,18",5,"(1, 3)",,3,2,4,5,3,6,1,2,2,10,30,20,10,20,10,5,4,5,4,5,5,4,,9,,,,,,,2,"I don’t drive, so it would help me get a round a little ",5,I don’t sign petition that I’m not super passionate about,"1,5",,,,,,,,,,,,,,,,,,,,,2,3,2,3,7,2,3,3,4,To gather information ,7,4,T1,0,1,0,Lyft,Lyft,Subway,Burger King,0,30,30,0,5,5,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Female,0,1,0,age_18_24,White,S,0,Some trust,0,0,1,4,about_once_or_twice_a_year,0,4,about_once_or_twice_a_year,0,None,0,0,0,1,25K_to_50K,1,0,0,1,0,0,0,max_high_school,1,0,0,1,0,0,0,not_working,0,0,0,1,0,2,None,No clicks,0,0,same weight,0,0,0,Product features,No interest,10
R_2ALqMLvvBGthxtY,EN,4,5,2,1,1,21,3,"(1, 2)",,1,0,5,4,6,3,2,1,6,0,0,0,0,0,100,5,5,5,5,5,3,4,,9,,,,,,,6,I love there food and can get it myself,3,Because you will be getting real information,"1,5",,,,,1,,,,,,,,,,,,,,,,1,3,5,5,5,3,2,1,2,To get rid of misinformation,7,4,T1,1,1,1,Burger King,Burger King,Burger King,Subway,0,100,100,0,3,3,platform_block,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Female,0,1,0,age_55_64,Black,NE,0,Very high trust,0,1,0,3,once_every_few_months,0,3,once_every_few_months,0,Biden,0,1,0,0,25K_below,1,0,1,0,0,0,0,some_college,1,0,0,0,1,0,0,not_working,0,0,0,1,0,2,petition_block,platform_block,1,0,same weight,0,0,0,Love,Misinformation concerns,100
R_1IsjRNa4dr5ok2w,EN,4,5,2,3,1,"2,11,16,17,18,26",3,"(1, 2)",,3,0,2,3,5,6,4,1,6,10,10,0,0,0,80,4,4,5,5,5,2,4,,,,9,,,,,5,If Burger King is spreading misinformation then I am not patronizing them. because they are wrong for doing so.,3,I am constantly researching anything i don't think os real and most of the time it is either fake or a hoax. I let people know by going on FB and saying hey don't believe it.,"1,5",,,,,,,,,,,,,1,,,,,,,,3,3,3,3,6,3,3,3,2,T o see how we respond to ads being on a site that misinforms others andspreads fake news.,4,4,T3,0,1,1,Subway,Burger King,Burger King,Uber,1,80,0,-80,2,3,platform_block,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Female,0,1,0,age_55_64,White,S,0,Some trust,0,0,0,2,about_once_or_twice_a_month,1,5,did_not_use,0,Biden,0,1,0,0,25K_to_50K,1,0,0,1,0,0,0,some_college,1,0,0,0,1,0,0,not_working,0,0,0,1,0,2,None,No clicks,0,1,negative weight difference,1,0,1,Misinformation,"Trust, privacy and free speech concerns",70
R_eRG2FTcBj2fC8j7,EN,4,3,1,3,1,"30,6,9,11,36",1,3,,1,4,2,3,6,5,4,1,1,20,20,10,10,10,30,1,1,1,1,1,1,4,,,9,,,,,,1,Easy to use,4,Unique,"1,5",,,,,,,,,,1,,,,,,,,,,,1,1,5,1,1,8,7,3,2,"Ads, petition",7,1,T2,0,1,0,Uber,Uber,Burger King,Uber,0,20,20,0,6,6,platform_allow,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Male,1,0,0,age_35_44,White,S,1,Very high trust,0,1,1,1,atleast_once_a_week,1,1,atleast_once_a_week,1,Biden,0,1,0,0,100K_above,0,1,0,0,0,1,0,post_graduate,0,1,1,0,0,0,1,paid_employee,1,0,1,0,0,1,None,No clicks,0,1,same weight,0,0,0,Product features,,10
R_AKEsU40BmZw0o37,EN,4,2,2,1,1,"2,34,35,5,11,24,16,17,26,37",1,"(1, 2, 3)",,1,3,3,4,1,2,6,5,1,20,10,20,10,30,10,3,1,1,3,2,4,4,,,,9,,,,,1,The reason why i choose Uber is because i want to give it a try in such a way that my friends too will hear me testify about it,2,The reason why i want to sign is that it is required,"1,5",,,,,,,,,,,,,,,,1,,,,,1,2,1,2,1,6,7,3,2,Is about fake news shared on websites,7,1,T3,1,1,0,Uber,Uber,Grubhub,DoorDash,0,20,20,0,6,6,company_allow,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Female,0,1,0,age_25_34,White,NE,1,Very high trust,0,1,1,3,once_every_few_months,0,3,once_every_few_months,0,Biden,0,1,0,0,100K_above,0,1,0,0,0,1,0,post_graduate,0,1,1,0,0,0,1,paid_employee,1,0,1,0,0,3,petition_allow,company_allow,0,0,same weight,0,0,0,Misinformation,No interest,10
R_2w6wNsZ7EBw6knt,EN,4,5,1,2,1,21,3,5,Dont use online sources,4,20,5,6,4,3,1,2,5,0,0,0,0,50,50,5,5,5,5,3,4,4,9,,,,,,,,5,"This is the one I use, in most cases, the others are not even available",1,Because they have to be the ones to say they don't want to represent themselves on placed deemed as misinformation websites.,"1,5",,,1,,,,,,,,,,,,,,,,,,3,2,3,4,5,4,1,3,1,To gauge the opinion of folks to stop supporting misinformation websites.,5,3,control,1,1,1,Subway,Subway,Subway,Burger King,0,50,50,0,4,4,company_block,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Male,1,0,0,age_55_64,White,MW,0,Low trust,1,0,1,3,once_every_few_months,0,3,once_every_few_months,0,Trump,1,0,0,0,25K_below,1,0,1,0,0,0,0,some_college,0,1,0,0,1,0,0,not_working,0,0,0,1,0,1,petition_block,company_block,1,0,same weight,0,0,0,Use,Misinformation concerns,0
R_1eDGDKuE6HtOUCG,EN,4,2,2,2,1,"2,4",3,"(1, 2, 4)",,4,0,2,1,6,5,3,4,2,20,40,10,10,10,10,2,2,3,3,5,4,4,,,,,,,9,,2,Because that's the product i use most often and would benefit most from,4,Because i think companies like Lyft for example are just trying to market their product to the masses and rely on the integrity of these digital ad platforms to coinside with thier belifs and values as a company however they have no reqly control over where thier ads appear exspcially with the whole personalized ads  choi e we have as consumers. for instance because i use lyft regularly whatever websites i happen to scroll thru on any hiven day tale my data see that i use lyft and then manipulate thier ads on that site to fit my interests ,"1,5",,,,,,,,,,,,,,,,,,,,,3,4,1,3,1,2,2,3,1,"data collection, personalized ads, and how much influence big name companys have on the average consomers belifs ",6,4,T4,0,1,1,Lyft,Lyft,Lyft,Uber,0,40,40,0,5,5,platform_allow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Female,0,1,0,age_25_34,White,MW,0,Low trust,1,0,0,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,Trump,1,0,0,0,25K_below,1,0,1,0,0,0,0,max_high_school,1,0,0,1,0,0,0,paid_employee,1,0,1,0,0,3,None,No clicks,0,1,same weight,0,0,0,Use,Platform responsibility,20
R_1hEiIm3t5Bw30hC,EN,4,6,1,2,1,"1,5,9",3,"(1, 5)",Roko,5,2,5,6,4,3,1,2,5,10,10,10,10,30,30,5,5,5,5,2,2,4,,,,,9,,,,5,I chose this card because over the past two years I have bought more subs then other food places.,5,I do not think that the products subway produces is manipulated what they produce has been good in the passed.If it’s tast changes ,"1,5",,,,,,,,,,,,,,,,,,,,,5,5,1,3,5,5,3,3,1,To push the narrative that ever where there are people spread false information  ,1,6,T4,0,1,1,Subway,Subway,Subway,Burger King,0,30,30,0,4,4,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Male,1,0,0,age_65_plus,White,MW,1,Very low trust,1,0,1,2,about_once_or_twice_a_month,1,2,about_once_or_twice_a_month,1,Trump,1,0,0,0,25K_to_50K,1,0,0,1,0,0,0,bachelors,0,1,1,0,0,1,0,not_working,0,0,0,1,0,2,None,No clicks,0,1,same weight,0,0,0,Frequency of use,Company responsibility,0
